identifier,name,surname,first_name,birthdate,nationality,language
78-56/73,Hung,Murray,Hugo,1984-08-23,Italian,Tajik
06-68/72,Maybell,Bates,Lenny,1997-09-17,Cameroonian,Kashmiri
45-00/74,Frank,Sanders,Diego,1980-07-07,Dominican,Khmer
03-05/04,Mitchel,Elliott,Walker,1999-09-08,Afghan,Spanish
57-20/57,Leonie,Mosley,Maisie,1980-01-22,Taiwanese,Persian
57-75/52,Ty,Callahan,Latrisha,2013-01-21,Romanian,Montenegrin
36-45/25,Tuan,Beasley,Azucena,2023-06-02,Greek,Portuguese
15-44/86,Rosendo,Kerr,German,2023-06-21,Uruguayan,Northern Sotho
09-31/16,Warren,Velasquez,Cristobal,1980-04-20,Argentinian,Norwegian
93-11/12,Blake,Fitzpatrick,Nathan,1994-03-22,Japanese,Burmese
52-51/71,Boris,Keith,Pearlene,2011-10-12,Afghan,Swahili
69-55/10,Rolando,Simon,Paul,1998-01-14,Ecuadorian,Bulgarian
54-53/02,Lachelle,Flynn,Ayesha,2007-02-25,Latvian,Hungarian
29-09/11,Forrest,Davis,Jere,1997-09-02,Egyptian,Northern Sotho
80-04/73,Jolyn,Golden,Veta,1999-02-07,Danish,Hungarian
14-08/12,Andrew,Dennis,Sage,1996-12-13,Italian,Azeri
81-56/57,Elton,Mason,Clarence,1983-09-16,Cameroonian,West Frisian
81-60/04,Adrian,Gonzales,Keila,2001-07-11,Italian,Polish
18-56/90,Wilford,Guerra,Minda,1981-07-13,Puerto Rican,Bosnian
35-82/06,Chun,Medina,Dane,2007-10-20,Japanese,Bosnian
64-16/49,Reita,Lopez,Eleni,2004-05-25,Cameroonian,Bislama
09-77/03,Zackary,Barnes,Shona,2019-06-07,German,Japanese
21-54/36,Elene,Garcia,Tyson,2009-09-06,Saudi,Mongolian
14-82/92,Jonas,Padilla,Arthur,2012-03-10,Swiss,Armenian
28-05/76,Vallie,West,Lonnie,2003-07-08,Costa Rican,Macedonian
22-15/19,Cruz,Bentley,Michel,2008-04-04,Mexican,Kashmiri
94-40/58,Dwayne,Langley,Dewey,2013-05-21,Guatemalan,English
11-79/88,Apryl,Lindsey,Annis,1986-04-05,Saudi,Czech
96-39/48,Danyell,Alston,Jackie,1987-12-17,Guatemalan,Kurdish
27-63/92,Deadra,Stuart,Janean,1995-02-21,Saudi,Bengali
35-53/77,Jaleesa,Wolf,Karima,2005-07-11,Mexican,Swedish
93-89/26,King,Cardenas,Luba,1994-05-19,Cambodian,Persian
93-82/43,Rema,Mack,Eduardo,2012-09-26,Polish,Māori
80-59/16,Bee,Mullins,Torri,1986-12-21,Venezuelan,Hiri Motu
54-60/86,Grayce,Stephens,Tiffaney,2022-08-27,Cambodian,Tswana
83-05/78,Kennith,Holland,Ula,1986-04-27,Cuban,Swahili
06-35/18,Lawanna,Stafford,Terresa,1984-07-26,Irish,Dzongkha
89-90/00,Sachiko,Foley,Otha,2005-03-10,Swiss,Kannada
33-11/31,Laurena,Talley,Stuart,2022-04-22,Cuban,Russian
74-96/04,Lilliam,Wilkerson,Leo,2005-10-06,Uruguayan,Azeri
43-56/50,Ryan,Welch,Risa,1983-12-22,Afghan,German
09-06/26,Emil,Adams,Scotty,2021-04-04,Romanian,Telugu
61-62/14,Willena,Sharp,Karl,2014-05-04,Spanish,Maltese
01-41/40,Maryln,Pittman,Ramon,2017-12-13,Chinese,Polish
64-63/97,Tonita,Mitchell,Horacio,2010-10-19,Puerto Rican,Mongolian
19-62/65,Garry,Ayers,Misha,2007-10-16,Jordanian,Hiri Motu
69-60/35,Harlan,Parker,Macie,2022-05-13,Mexican,Kashmiri
14-18/65,Reuben,Craig,Lilliana,2002-07-27,Portuguese,Korean
53-11/31,Vince,Dalton,Micha,1996-03-30,Dominican,Italian
10-77/22,Tyler,Guerra,Isiah,2005-05-30,Bolivian,Danish
97-87/47,Efren,Summers,Porsche,2015-12-24,Spanish,Catalan
42-18/63,Maira,Johnston,Ranae,1998-02-18,Spanish,Filipino
14-21/38,Ethyl,York,Linsey,1983-04-20,German,Amharic
20-62/08,Emil,Jackson,Parthenia,1994-01-28,Ethiopian,Bislama
66-46/00,Verdell,Ortega,Terry,1993-03-01,Uruguayan,Spanish
11-57/18,Moses,Walls,Setsuko,1999-08-11,Irish,Bulgarian
89-62/97,Leeanna,Swanson,Dwain,2011-01-18,Egyptian,Swedish
31-19/07,Cortez,Peck,Shawnda,1995-04-28,Argentinian,Quechua
71-65/81,Maximina,Conrad,Perry,1994-08-30,Cameroonian,Persian
95-79/79,Lien,Velez,Ivan,2020-12-24,Italian,Aymara
03-75/84,Odell,Bullock,Randal,2010-10-17,Venezuelan,Dutch
20-80/27,Dalton,Melton,Gail,2010-03-11,Greek,Malagasy
28-77/13,Dick,Joseph,Dennis,2019-06-06,Taiwanese,West Frisian
50-45/18,Marine,Sloan,Winfred,2023-04-08,Ukrainian,Persian
48-16/86,Oliver,Coffey,Ellyn,1990-07-20,Danish,Tajik
62-80/70,Ty,Mcguire,Jose,1984-12-03,Chinese,Bislama
92-38/58,Edmundo,Alexander,Barrett,2016-02-12,Salvadorian,Georgian
70-99/43,Betsey,Mendez,Bobbie,1998-07-24,Ecuadorian,Dhivehi
47-66/62,Earl,Spencer,Elijah,1992-06-17,Japanese,Kannada
75-70/19,Katharina,Dorsey,Ngoc,2005-11-10,Ukrainian,Luxembourgish
11-36/45,Norris,Carney,Leana,1990-05-05,Ethiopian,Northern Sotho
89-23/76,Stacey,Mayo,Angelyn,1995-12-06,Israeli,Persian
02-17/96,Jerald,Estrada,Wenona,2012-01-22,Swiss,Afrikaans
88-32/01,Enrique,Macias,Harvey,1986-03-10,Ecuadorian,Hindi
49-99/75,Monty,Wallace,Demetrius,1986-02-18,Swedish,Burmese
82-01/89,Angeles,Johnson,Sharen,1981-05-30,Cameroonian,Punjabi
46-60/25,Monte,Malone,Rozella,2022-07-21,Latvian,Georgian
66-92/42,Ellsworth,Swanson,Calvin,2005-06-09,Portuguese,Malayalam
64-92/36,Theresia,Moses,Jay,1987-02-18,Argentinian,Hungarian
27-62/87,Isela,Gomez,Kemberly,1997-03-12,Japanese,Bislama
01-73/29,Alex,Evans,Diedre,1981-08-17,Spanish,Yiddish
27-45/30,Margart,Medina,Jeffrey,2008-02-07,Venezuelan,Swedish
33-52/08,Bernardine,Casey,Sena,2009-01-16,Afghan,Irish Gaelic
88-58/93,Cecil,Velasquez,Clyde,1983-11-14,Salvadorian,Swedish
75-15/08,Demetrius,Murray,Thurman,1999-01-02,British,Tajik
47-56/53,Boyce,Bean,Eric,1997-08-15,German,Khmer
49-58/16,Elias,Park,Charley,2017-07-11,Ethiopian,Dutch
78-91/63,Emerita,Blevins,Johanne,2014-06-08,Puerto Rican,Yiddish
98-15/83,Michal,Hansen,Ali,2018-07-21,Iranian,Kurdish
07-04/58,Billy,Boyd,Marilou,1981-07-18,Saudi,Belarusian
71-95/42,Lenard,Greene,Tristan,2002-06-08,Saudi,Mongolian
81-85/32,Wilson,Manning,Venice,2019-07-23,Polish,Polish
74-96/47,Alise,Cooper,Fernando,1981-12-10,Afghan,French
31-78/83,Arlinda,Dixon,Lynwood,2004-09-22,Australian,Italian
27-01/66,Ha,Vaughan,Quinn,1982-04-19,Israeli,Norwegian
95-02/59,Randolph,Prince,Aleen,1984-01-23,Colombian,Norwegian
23-86/17,Peg,Weiss,Victor,1992-01-29,Irish,Papiamento
20-60/03,Chia,Davidson,Eladia,2022-05-29,Spanish,Czech
38-51/30,Patricia,Rowland,Alonso,2010-12-01,Belgian,Yiddish
16-76/44,Shenika,Brown,Rolf,2004-08-24,Uruguayan,Gagauz
96-22/98,Kelley,Vaughan,Gwenn,1982-05-05,Dominican,Aymara
59-44/42,Nick,Stewart,Mose,2001-08-02,Chinese,Oriya
71-64/09,Sadye,Suarez,Herbert,1988-08-17,Jordanian,Icelandic
61-41/00,Wesley,Silva,Margeret,2023-08-25,Mexican,Albanian
99-09/30,Eric,Mullins,Rickey,2020-11-15,Canadian,Yiddish
91-28/97,Jarod,Woodward,Carylon,1982-08-19,Belgian,Quechua
18-19/75,Joel,Valenzuela,Logan,1986-11-27,Venezuelan,Malagasy
52-38/84,Zachary,Frazier,Miguelina,2018-03-09,Estonian,Pashto
68-92/40,Heriberto,Cummings,Tora,1992-05-23,Puerto Rican,Japanese
80-42/38,Tianna,Soto,Sylvester,2004-11-19,Ukrainian,Romanian
65-39/04,Marty,Blankenship,Meg,2006-04-26,Colombian,Tamil
21-04/71,Elisha,Crane,Ralph,2021-05-26,Colombian,Estonian
30-05/04,Lester,Duffy,Dann,1998-09-16,Mexican,Aymara
05-13/39,Latrina,Huffman,Marion,1993-05-25,Chinese,Mongolian
59-93/86,Dierdre,Bradshaw,Madison,2006-03-22,Costa Rican,Nepali
01-29/34,Olin,Weaver,Thanh,2009-09-24,Brazilian,Tsonga
62-03/76,Mahalia,Hudson,Jay,2015-12-23,Ethiopian,West Frisian
81-59/99,Theo,Weiss,Filiberto,2014-02-20,Brazilian,Chinese
59-46/53,Blake,Sears,Malcolm,2005-10-11,Finnish,Azeri
04-17/41,Eulah,Bradshaw,Daysi,2014-10-10,Afghan,Luxembourgish
62-15/97,Latrisha,Mccormick,Erik,1980-10-01,Latvian,Armenian
41-86/05,Mendy,Sanders,Garfield,1994-04-11,Cambodian,Telugu
25-41/57,Prince,Stanton,Chere,1990-08-12,Puerto Rican,Montenegrin
35-32/81,Alaine,Farrell,Julienne,2001-08-02,Chilean,Persian
70-70/78,Brande,Carson,Tony,2002-03-02,Swiss,Norwegian
78-00/19,Han,Sexton,Daryl,2011-03-06,Costa Rican,Amharic
59-57/53,Janella,Petty,Shena,2005-11-22,Afghan,Tamil
10-38/86,Gregorio,Mccormick,Dorethea,1995-02-27,Argentinian,Portuguese
41-65/65,Claud,Hendricks,Maddie,1982-08-24,Canadian,Korean
26-77/85,Burt,Miranda,Tonisha,2013-08-01,Chilean,Tok Pisin
68-68/04,Loren,Phillips,Marx,1992-01-29,Cameroonian,Korean
78-98/34,Genia,Sloan,Cythia,1988-07-15,Canadian,Burmese
10-93/99,Shavon,Bauer,Dwain,2011-03-29,Dominican,Gagauz
02-76/04,Laticia,Fry,Maye,2009-11-15,Italian,West Frisian
29-04/10,Dakota,Kim,Mitsue,2023-07-15,Saudi,Aymara
07-35/47,Jacques,Hoffman,Ivana,2015-07-15,Australian,Bosnian
30-09/74,Noe,Talley,Simon,1992-03-31,Cambodian,Hiri Motu
58-36/51,Gregg,Tate,Gita,2002-03-06,Saudi,Croatian
10-88/71,Johanne,Shannon,Leroy,2014-11-12,Swedish,Azeri
79-50/29,Ngan,Britt,Curtis,1986-05-19,Uruguayan,Polish
86-94/38,Alan,Patterson,Terrance,1981-10-06,Latvian,Tetum
06-06/61,Youlanda,Warner,Kerstin,2021-12-08,Argentinian,Tsonga
03-14/56,Terresa,West,Mitchell,2002-10-29,Chinese,Nepali
13-12/35,Elmer,Becker,Jalisa,2001-12-27,Costa Rican,Khmer
02-70/77,Ashlea,Dodson,Daniel,1986-02-04,Italian,Indonesian
70-83/48,Britteny,Berger,Thomas,2001-10-21,Chinese,Kyrgyz
27-02/33,Stefania,Foley,Tod,2011-09-30,Saudi,Aymara
86-42/16,Ethyl,O'neil,Walker,2000-08-03,Portuguese,Lithuanian
03-54/18,Raye,Copeland,Sherill,1996-12-30,Chilean,German
11-10/34,Roy,Collins,Coralie,1993-10-04,French,Tswana
56-97/06,Elvin,Bonner,Isaias,1988-05-09,Ethiopian,Kurdish
84-20/28,Kathrin,Fleming,Guadalupe,1992-11-14,German,Portuguese
56-44/93,Randal,Stokes,Lon,1991-05-25,Cameroonian,Bengali
78-88/22,Ramonita,Golden,Kenton,2003-05-24,Brazilian,Malagasy
18-24/65,Manuel,Goodman,Evelynn,1991-01-22,Cameroonian,Azeri
80-50/97,Concha,Humphrey,Ossie,1987-02-27,Japanese,Albanian
50-68/16,Ayana,Newman,Louis,2018-12-10,Ethiopian,Luxembourgish
54-32/77,Katlyn,Griffith,Coralee,1981-05-13,Taiwanese,Estonian
80-33/31,Jerlene,Parks,Trang,2002-12-08,Dutch,Japanese
55-05/74,Yasmine,Hull,Ressie,1998-07-05,Belgian,Haitian Creole
45-87/22,Monroe,Sharp,Laverna,2005-08-23,Belgian,Arabic
26-38/96,Sadye,Griffith,Zachery,1999-07-09,Ecuadorian,Afrikaans
67-34/60,Burt,Swanson,Royce,1993-11-23,British,Thai
73-85/58,Weldon,Benton,Whitney,1986-01-07,Swiss,Hungarian
27-49/39,Shera,Bradford,Alise,2012-08-10,Guatemalan,Portuguese
83-94/22,Glinda,Leonard,Emelda,2010-09-20,Puerto Rican,Lithuanian
23-96/17,Wally,Bennett,Phung,1995-06-07,Russian,Estonian
97-73/68,Fabian,Aguilar,Quincy,1993-06-26,Swiss,Bengali
73-84/67,Milan,Christensen,Marianela,1990-02-26,Belgian,Dari
15-22/65,Archie,Dixon,Dick,2023-09-15,Mexican,Afrikaans
67-98/60,Marion,Flores,Alvera,1982-08-16,Afghan,Estonian
61-77/04,Laurence,Kidd,Wendell,1997-09-10,Mexican,Russian
68-27/96,Quincy,Parrish,Shad,2020-05-22,Irish,Haitian Creole
06-73/50,Veola,Bernard,Floyd,2019-06-11,Latvian,Moldovan
09-69/65,Agueda,Benson,Alfonso,2001-09-20,Argentinian,Hindi
47-01/75,Dwight,Boyd,Dominica,2002-03-04,Estonian,Kashmiri
49-31/83,Francisco,Farmer,Lala,1988-12-12,Iranian,Tsonga
81-28/46,Valeri,Sampson,Lelah,1994-11-21,Guatemalan,Mongolian
55-25/30,Judson,Dean,Donovan,2007-12-04,Taiwanese,Filipino
33-85/86,Zachery,Pollard,Salvador,2012-09-19,Afghan,Tswana
23-53/55,Darren,Frye,Elke,2018-03-22,Cuban,Kurdish
29-58/93,Agustin,Charles,Katharina,2023-04-02,Irish,Portuguese
69-28/06,Denita,Levy,Taisha,1988-11-27,German,Danish
86-09/34,Julio,Frost,Emerita,2018-07-06,Irish,Swati
43-09/41,Thu,Wise,Brent,1994-06-19,Russian,Lithuanian
11-02/92,Mike,Beach,Gaston,1987-08-01,Canadian,Assamese
34-58/50,Laure,Blanchard,Tiffiny,1980-07-01,Cambodian,Sotho
40-99/67,Joe,Dawson,Santiago,2023-09-18,English,Spanish
46-54/06,Myrle,Mcclain,Harvey,2003-05-11,Romanian,Russian
28-07/34,Renda,Newton,Timothy,2008-05-19,Afghan,Romanian
70-94/10,Digna,Christian,Lavonna,2007-08-09,Saudi,Bengali
62-49/22,Shaunta,Nolan,Kerstin,1989-02-25,Belgian,Malagasy
75-67/87,Jon,Fry,Kelley,1986-09-04,Salvadorian,Maltese
49-39/16,Nyla,Ruiz,Bernard,2019-04-01,Latvian,Georgian
49-39/52,Terry,Petersen,Ailene,2007-12-21,Spanish,Luxembourgish
77-11/71,Del,Vang,Elwood,2020-02-05,Chinese,Telugu
21-72/65,Lonnie,Lynch,Roy,2008-09-14,Israeli,Sotho
94-76/12,Erasmo,Walker,Shawnta,2023-03-05,Danish,Guaraní
27-28/74,Tobias,Rivera,Delena,2020-10-21,Portuguese,Kazakh
43-29/58,Brock,Hayes,Ashli,1988-05-02,Ecuadorian,Quechua
40-27/88,Hosea,Lindsey,Lashay,1983-03-10,Spanish,West Frisian
38-19/94,Calandra,Buchanan,Roman,2011-09-05,Romanian,Croatian
85-38/39,Stasia,Ruiz,Francesco,2014-09-08,Dominican,Armenian
39-54/29,Robt,Hurley,Pierre,1985-08-26,Estonian,Ndebele
75-39/57,Jeromy,Leach,Anastacia,1981-08-27,Irish,Maltese
79-81/65,Apryl,Miller,Melany,2020-07-19,Cameroonian,French
91-17/54,Santos,Dorsey,Gerry,2013-02-13,Chinese,Aymara
00-98/62,Latoria,Guy,Frankie,2021-09-21,Chilean,Aymara
40-93/35,Cletus,Carey,Morgan,1999-09-15,Puerto Rican,Maltese
83-19/22,Valentin,Myers,Emery,1999-06-28,Russian,Hebrew
92-60/46,Pedro,Sargent,Edyth,2010-03-08,Colombian,Hebrew
70-75/55,Barbera,Burch,Willian,1984-03-11,Jordanian,Georgian
26-39/80,Gianna,Faulkner,Giovanni,1986-08-08,Dutch,Oriya
65-01/86,Bruce,Serrano,Keeley,2010-08-09,Egyptian,Kashmiri
99-98/21,Ezequiel,Lester,Doretta,2011-11-10,Ukrainian,Albanian
55-09/15,Avery,Harrison,Lynwood,2014-04-15,Irish,Swati
89-90/75,Clarine,Ward,Collene,2003-12-21,Japanese,English
75-41/43,Jerrold,Dudley,Madelaine,1997-02-24,Polish,Russian
45-18/69,Emilee,Garner,Lorita,2006-07-21,German,Moldovan
37-73/96,Marchelle,Monroe,Arron,1993-02-20,Latvian,Bislama
06-92/42,Lurline,Conrad,Ariane,1986-07-28,Iranian,Swahili
27-12/01,Deloise,Crane,Nerissa,1992-11-24,Portuguese,Dari
10-68/08,Burton,Koch,Marcelo,1989-04-14,Chinese,Luxembourgish
12-22/64,Carey,Horn,Marlon,2009-06-18,Italian,Ndebele
30-95/05,Max,Gillespie,Brant,1983-10-03,French,Japanese
13-33/25,Francisco,Cervantes,Sharika,1985-10-20,Romanian,German
00-84/74,Val,Simmons,Mirella,2002-06-07,Ecuadorian,Albanian
16-54/99,Chi,Beach,Abraham,1999-07-19,Venezuelan,Swati
92-82/97,Ginette,Hart,Justin,2007-05-03,Irish,Dutch
98-99/13,Eldridge,Smith,Federico,1987-07-27,German,Kannada
98-43/44,Derick,Terry,Markus,1993-03-16,Estonian,Guaraní
19-79/22,Sydney,Patton,Dwayne,2008-06-27,Taiwanese,Haitian Creole
78-24/27,Frankie,Nolan,Nickolas,1982-03-26,Australian,Russian
60-97/39,Chi,Sparks,Krysta,2017-10-20,Greek,Dhivehi
16-55/81,Annita,Barrett,Adah,1997-02-16,Greek,Hiri Motu
20-03/24,Rodger,Nolan,Galina,2006-04-22,Israeli,Lao
78-48/90,Merlyn,Gross,Lachelle,1983-09-28,Portuguese,Zulu
41-78/06,Laree,Delacruz,Ali,2000-04-10,Afghan,Zulu
11-48/17,Val,Golden,Alejandrina,2023-08-30,Israeli,Pashto
91-26/84,Sharri,Koch,Elwood,2016-03-25,Dominican,Mongolian
84-46/42,Donnie,Pennington,Sharita,2010-09-26,Guatemalan,Estonian
21-12/62,Dakota,Baxter,Louetta,2022-11-04,Swiss,Zulu
97-89/11,Christinia,Espinoza,Elden,2014-05-09,Dominican,Yiddish
92-54/93,Perry,Herman,Amina,2018-12-24,Salvadorian,Greek
88-86/07,Abe,Leonard,Savanna,2007-04-01,Costa Rican,Croatian
19-66/78,Deandre,Clayton,Isiah,2006-12-31,Greek,Arabic
48-65/43,Mike,Carpenter,Katheleen,1994-07-27,Australian,Hindi
49-32/18,Kirby,Hall,Kali,2005-01-11,Cambodian,Punjabi
01-44/48,Ronny,Ochoa,Jesus,2000-07-12,Canadian,Haitian Creole
20-80/11,Tova,West,Basil,1998-07-16,Ecuadorian,Irish Gaelic
15-81/49,Wendell,Wagner,Willena,2000-07-03,Ethiopian,Tetum
76-07/30,Boyce,Price,Eleonore,2017-08-26,Irish,Oriya
55-78/37,Joya,Wise,Suanne,2003-07-12,French,Czech
68-43/37,Elmer,Barber,Stacee,2010-01-17,Finnish,Chinese
17-61/97,Alyse,Meyers,Rosario,1982-12-18,Argentinian,Finnish
10-23/50,Tommy,Rogers,Kyle,2005-08-09,French,Kazakh
85-61/58,Peg,Vega,Dudley,1998-04-12,Iranian,Pashto
36-24/33,Norman,Nichols,Willard,2002-07-31,Israeli,Polish
05-43/20,Branden,Burch,Salena,2014-04-19,Colombian,Quechua
49-35/73,Caleb,Snider,August,1988-05-25,Guatemalan,Thai
40-49/72,Kenda,Harrell,Coy,1999-02-17,Uruguayan,Belarusian
